"PointID", "x", "y", "z", "Density", "Momentum_x", "Momentum_y", "Momentum_z", "Energy", "Nu_Tilde", "Pressure", "Temperature", "Mach", "Pressure_Coefficient", "Laminar_Viscosity", "Skin_Friction_Coefficient_x", "Skin_Friction_Coefficient_y", "Skin_Friction_Coefficient_z", "Heat_Flux", "Y_Plus", "Eddy_Viscosity"
993, 7.555865640516000e-01, 1.334441298660000e-01, -1.116992609308080e-02, 9.178895541231392e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.754920763723820e+00, 1.000000000000000e-10, 1.101968305489528e+00, 1.184535587067552e+00, 0.000000000000000e+00, 1.769048245361793e-01, 6.270235447414309e-08, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.160049870311317e-08
994, 7.392994277250000e-01, 1.336239230847000e-01, -1.302737402227200e-02, 9.245746882068994e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.776379446047391e+00, 1.000000000000000e-10, 1.110551778418956e+00, 1.185130701252639e+00, 0.000000000000000e+00, 1.940717703950354e-01, 6.272580139115294e-08, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.160049870311317e-08
995, 7.218122344656001e-01, 1.338076638591000e-01, -1.493270125643400e-02, 9.313677569180195e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.798374930292037e+00, 1.000000000000000e-10, 1.119349972116815e+00, 1.185807329551315e+00, 0.000000000000000e+00, 2.116681577907528e-01, 6.275245268048849e-08, 5.115846455035168e-03, 7.686159905150087e-06, 5.425758573889529e-04, -6.716970208962608e+04, 1.969468366796774e+01, 1.160049870311317e-08
996, 7.031161321788000e-01, 1.339940363373000e-01, -1.687720738280400e-02, 9.377271939510684e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.819108029563934e+00, 1.000000000000000e-10, 1.127643211825573e+00, 1.186491512462044e+00, 0.000000000000000e+00, 2.282546372082703e-01, 6.277939374448503e-08, 5.087782752202269e-03, 6.576624512169071e-06, 5.155780058448690e-04, -6.659967441864748e+04, 1.977619682414858e+01, 1.160049870311317e-08
997, 6.832277484477001e-01, 1.341825620277000e-01, -1.885437056087400e-02, 9.436087049889238e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.838471251076041e+00, 1.000000000000000e-10, 1.135388500430416e+00, 1.187194809513548e+00, 0.000000000000000e+00, 2.437452144179559e-01, 6.280707930806291e-08, 5.064460226398292e-03, 5.637129749510762e-06, 4.914014944538534e-04, -6.611835467594073e+04, 1.984261544475571e+01, 1.160049870311317e-08
998, 6.621872765667000e-01, 1.343725231929000e-01, -2.085952310508600e-02, 9.488059436758185e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.855683268742818e+00, 1.000000000000000e-10, 1.142273307497127e+00, 1.187851275570299e+00, 0.000000000000000e+00, 2.575148285513768e-01, 6.283291389419929e-08, 5.044651476813829e-03, 4.847938635674503e-06, 4.698916849182446e-04, -6.571669808941965e+04, 1.990101694370334e+01, 1.160049870311317e-08
999, 6.400557242148001e-01, 1.345632020955000e-01, -2.288609173708500e-02, 9.536680770511254e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.871914542332211e+00, 1.000000000000000e-10, 1.148765816932884e+00, 1.188512340237996e+00, 0.000000000000000e+00, 2.704998474228910e-01, 6.285892218342714e-08, 5.028165605397111e-03, 4.154720073048516e-06, 4.501020782216107e-04, -6.537732603601967e+04, 1.995222600772954e+01, 1.160049870311317e-08
1000, 6.169121621289000e-01, 1.347534025065000e-01, -2.492214048390900e-02, 9.585265226398679e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.888233738693762e+00, 1.000000000000000e-10, 1.155293495477504e+00, 1.189207475068284e+00, 0.000000000000000e+00, 2.835552045121323e-01, 6.288626303192361e-08, 5.013413798589160e-03, 3.494135286394728e-06, 4.302721820820095e-04, -6.507265850700059e+04, 2.000267911097666e+01, 1.160049870311317e-08
1001, 5.928521690061000e-01, 1.349408515908000e-01, -2.694633460134300e-02, 9.639579971856772e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.906625466907355e+00, 1.000000000000000e-10, 1.162650186762942e+00, 1.190036800513076e+00, 0.000000000000000e+00, 2.982685870830068e-01, 6.291887128982207e-08, 5.002128965925863e-03, 2.803095066632344e-06, 4.084599334796899e-04, -6.481356089708637e+04, 2.004054699971422e+01, 1.160049870311317e-08
1002, 5.679843624396000e-01, 1.351223195301000e-01, -2.892556486312500e-02, 9.704847638806913e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.928942186752218e+00, 1.000000000000000e-10, 1.171576874700887e+00, 1.191108998898093e+00, 0.000000000000000e+00, 3.161219629588973e-01, 6.296101209330642e-08, 4.990091320917807e-03, 2.042400742030903e-06, 3.821583887321769e-04, -6.454315002124623e+04, 2.008805607933249e+01, 1.160049870311317e-08
1003, 5.424300400500001e-01, 1.352937391458000e-01, -3.081476812659600e-02, 9.785549987183734e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.956916201180797e+00, 1.000000000000000e-10, 1.182766480472318e+00, 1.192568146078079e+00, 0.000000000000000e+00, 3.385011745017600e-01, 6.301833049128678e-08, 4.980348108659259e-03, 1.225115066771498e-06, 3.498383143519161e-04, -6.430925645660916e+04, 2.013709437364510e+01, 1.160049870311317e-08
1004, 5.163201889128000e-01, 1.354496077845000e-01, -3.256013203019100e-02, 9.883769078881787e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.991603091532379e+00, 1.000000000000000e-10, 1.196641236612952e+00, 1.194567819708200e+00, 0.000000000000000e+00, 3.662506867830268e-01, 6.309682447767909e-08, 4.971970038386894e-03, 4.290692634653758e-07, 3.103889298360875e-04, -6.412690301380267e+04, 2.018593140805639e+01, 1.160049870311317e-08
1005, 4.897956051813001e-01, 1.355850209073000e-01, -3.410447204279400e-02, 9.998895089576895e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.033306549484136e+00, 1.000000000000000e-10, 1.213322619793654e+00, 1.197274462102252e+00, 0.000000000000000e+00, 3.996134531444312e-01, 6.320296383755514e-08, 4.965682551116948e-03, -2.032205319058846e-07, 2.638015984343407e-04, -6.405283818900684e+04, 2.024481298059203e+01, 1.160049870311317e-08
1006, 4.630053389889000e-01, 1.356949543524000e-01, -3.539472703465200e-02, 1.012726843393913e+00, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.081378757285612e+00, 1.000000000000000e-10, 1.232551502914244e+00, 1.200831828836380e+00, 0.000000000000000e+00, 4.380712193856117e-01, 6.334227973622502e-08, 4.963829849134110e-03, -4.867665543030009e-07, 2.111763989589741e-04, -6.418240530566294e+04, 2.030273595322949e+01, 1.160049870311317e-08
